SITE,YEAR,TREE_ID,BAND_NUM,UNIQUE_ID,SP,L,K,doyip,r,theta,a,b,r.squared,ts.sd,alt.a,WD,RGR,GR,Max.growth.day,Max.growth.rate,Size.a,Size.alt.a,Start.g,Stop.g,Median.g,DOY.05,DOY.95,DOY.10,DOY.90,GS_Length,GS.90,GS.80
SERC,2010,30193,2,SERC301932,FAGR,29.0773057675505,29.8611768826731,194.279385410432,0.0369426776158129,3.56083879343308,29.2,29.8611768826731,0.996240902921873,0.22338377514614,-99,NA,0.0223904954115328,0.6611768826731,29.0773057675505,29.0773057675505,29.2,-99,114,Inf,168,122,244,129,224,Inf,122,95
SERC,2011,30193,2,SERC301932,FAGR,29.7647833068401,30.4047970305581,175.519894053184,0.0490482969649782,2.46648177989396,29.8423093059624,30.4047970305581,0.998850607338342,0.199138254198111,29.8611768826731,NA,0.0186732310702236,0.562487724595702,29.7647833068401,29.7647833068401,29.8423093059624,29.8611768826731,117,Inf,162,124,220,130,205,Inf,96,75
SERC,2012,30193,2,SERC301932,FAGR,30.2789357893767,30.9520050397228,188.500593680944,0.0371658251309816,3.24736312267403,30.407139767109,30.9395852713181,0.991433702006733,0.171368675781164,30.4047970305581,NA,0.0173589991698506,0.5324455042091,30.2789357893767,30.2789357893767,30.407139767109,30.4047970305581,118,264,166,124,232,130,217,146,108,87
SERC,2013,30193,2,SERC301932,FAGR,30.2789357893767,30.9520050397228,188.500593680944,0.0371658251309816,3.24736312267403,30.407139767109,30.9395852713181,0.991433702006733,0.000854735806492181,30.9395852713181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SERC,2013,30193,2,SERC301932,FAGR,28.4937409170374,28.9297827059897,178.192157294264,0.0620186048570697,2.11450698719071,28.5635275258628,28.9297827059897,0.996496013463861,0.10873139036309,30.9395852713181,NA,0.0127409652782373,0.366255180126903,28.4937409170374,28.4937409170374,28.5635275258628,30.9395852713181,139,Inf,171,144,217,148,205,Inf,73,57
SERC,2014,30193,2,SERC301932,FAGR,28.9126651400346,29.3742264664834,176.512525991454,0.0605374497802389,1.63686317374447,28.9305996657405,29.3742264664834,0.996366172131704,0.186776674899058,28.9297827059897,NA,0.015217792126021,0.443626800742901,28.9126651400346,28.9126651400346,28.9305996657405,28.9297827059897,115,Inf,170,130,218,138,205,Inf,88,67
SERC,2015,30193,2,SERC301932,FAGR,29.3732846738547,29.780939916363,188.12839761828,0.0630118556389554,3.77211431554656,29.3832501879815,29.780939916363,0.996741284041042,0.166573190793406,29.3742264664834,NA,0.0134437982634452,0.397689728381501,29.3732846738547,29.3732846738547,29.3832501879815,29.3742264664834,109,Inf,168,127,214,136,202,Inf,87,66
SERC,2016,30193,2,SERC301932,FAGR,29.774802982091,30.3690891585212,186.848702840197,0.0555643259004918,1.3978819169719,29.7875517069876,30.3690891585212,0.997506182521252,0.251706755705662,29.780939916363,NA,0.0193347088349949,0.581537451533599,29.774802982091,29.774802982091,29.7875517069876,29.780939916363,112,Inf,182,134,234,145,221,Inf,100,76
SERC,2015,30199,1,SERC301991,QUAL,20.8833678652789,20.9197091156342,48.1498953381894,0.0137858583532187,0.128600959920442,20.8929716753744,20.9197091156342,0.770592436189982,0.0077161517398169,-99,NA,0.00127891555376758,0.0267374402597973,20.8833678652789,20.8833678652789,20.8929716753744,-99,123,Inf,236,136,434,148,381,Inf,298,233
SERC,2016,30199,1,SERC301991,QUAL,20.8988800341585,20.9868496492347,196.941420686238,0.023931689565734,1.8931626109909,20.9089898478035,20.9868496492347,0.941230152800986,0.0278204965941709,20.9197091156342,NA,0.00371683164729175,0.0778598014311989,20.8988800341585,20.8988800341585,20.9089898478035,20.9197091156342,85,Inf,180,101,299,113,268,Inf,198,155
SERC,2010,30261,2,SERC302612,LIST2,84.6585624252689,85.3486317442931,198.645702903622,0.0356151900604516,1.48777506257681,84.7,85.3486317442931,0.99798274945227,0.222141134552419,-99,NA,0.00762881633845325,0.648631744293098,84.6585624252689,84.6585624252689,84.7,-99,110,Inf,191,128,272,140,251,Inf,144,111
SERC,2011,30261,2,SERC302612,LIST2,85.2928017653991,85.7560500332323,180.837175117791,0.0513928884449565,1.03138906567302,85.3113376052942,85.7500198256511,0.995760308676233,0.172517982255739,85.3486317442931,NA,0.00512895710190353,0.438682220356895,85.2928017653991,85.2928017653991,85.3113376052942,85.3486317442931,118,264,181,135,234,144,221,146,99,77
SERC,2012,30261,2,SERC302612,LIST2,85.7462492548823,86.2290932484869,190.722305443288,0.0471003641942186,1.043551627442,85.7767263909883,86.2290932484869,0.995706082081314,0.166190754822866,85.7500198256511,NA,0.00525991389598612,0.452366857498603,85.7462492548823,85.7462492548823,85.7767263909883,85.7500198256511,133,Inf,193,145,254,154,238,Inf,109,84
SERC,2013,30261,2,SERC302612,LIST2,86.2139341825415,86.6898183187305,232.23828416707,0.056089792865427,17.8925485824632,86.2387162083682,86.6898183187305,0.995936094869249,0.178884251369282,86.2290932484869,NA,0.00521722033697269,0.451102110362299,86.2139341825415,86.2139341825415,86.2387162083682,86.2290932484869,129,Inf,183,142,234,149,221,Inf,92,72
SERC,2014,30261,2,SERC302612,LIST2,86.6655733986778,87.2226571963615,169.079130568453,0.0486232609991767,0.394673593503115,86.6850296144902,87.2226571963615,0.99649657708465,0.215175412936735,86.6898183187305,NA,0.00618292732722825,0.537627581871291,86.6655733986778,86.6655733986778,86.6850296144902,86.6898183187305,120,Inf,190,139,250,149,234,Inf,111,85
