SITE,YEAR,TREE_ID,BAND_NUM,UNIQUE_ID,SP,L,K,doyip,r,theta,a,b,r.squared,ts.sd,alt.a,WD,RGR,GR,Max.growth.day,Max.growth.rate,Size.a,Size.alt.a,Start.g,Stop.g,Median.g,DOY.05,DOY.95,DOY.10,DOY.90,GS_Length,GS.90,GS.80
SERC,2014,30264,1,SERC302641,QUFA,98.3424274983458,98.8464514774379,122.950136023584,0.0190509501429295,0.00571962033683363,98.3547582880452,98.8464514774379,0.692906169404567,0.0254651099784278,98.3189035267118,NA,0.0049867260845522,0.491693189392691,98.3424274983458,98.3424274983458,98.3547582880452,98.3189035267118,201,Inf,Inf,261,Inf,290,Inf,Inf,Inf,Inf
SERC,2015,30264,1,SERC302641,QUFA,98.3733743616589,99.1920738054938,77.8659832501797,-0.0786736974530638,0.0819110971487034,98.9456248112361,99.1920738054938,0,0.0313562266887499,98.8464514774379,NA,0.00248765503054216,0.246448994257705,98.3733743616589,98.3733743616589,98.9456248112361,98.8464514774379,35,-Inf,24,34,-7,33,2,-Inf,-41,-31
SERC,2016,30264,1,SERC302641,QUFA,98.3733743616589,99.1920738054938,77.8659832501797,-0.0786736974530638,0.0819110971487034,98.9456248112361,99.1920738054938,0,0.0861407382272619,99.1920738054938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SERC,2017,30264,1,SERC302641,QUFA,98.3733743616589,99.1920738054938,77.8659832501797,-0.0786736974530638,0.0819110971487034,98.9456248112361,99.1920738054938,0,0.00697782416056669,99.1920738054938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SERC,2013,30531,1,SERC305311,QUAL,66.7478344188942,67.0652176281754,160.819988238024,0.0440390424468056,1.59922079537925,66.8,67.0652176281754,0.989673191800603,0.0844768199428334,-99,NA,0.00396246283974389,0.265217628175407,66.7478344188942,66.7478344188942,66.8,-99,113,Inf,158,120,221,125,205,Inf,101,80
SERC,2014,30531,1,SERC305311,QUAL,66.7941064438907,67.3375074917292,165.727315165042,0.0245272947620534,4.55168445390459,67.0500419616046,67.3375074917292,0.987915181358798,0.0924752912268311,67.0652176281754,NA,0.00427816371000311,0.287465530124592,66.7941064438907,66.7941064438907,67.0500419616046,67.0652176281754,99,Inf,146,104,251,108,222,Inf,147,114
SERC,2015,30531,1,SERC305311,QUAL,67.3104918480641,67.5892951422069,179.071758920689,0.047864288316974,4.26322218076774,67.3308666934002,67.5892951422069,0.97836754049703,0.098625062118849,67.3375074917292,NA,0.00383083982904164,0.258428448806697,67.3104918480641,67.3104918480641,67.3308666934002,67.3375074917292,96,Inf,152,107,212,115,196,Inf,105,81
SERC,2016,30531,1,SERC305311,QUAL,67.5031433098259,67.8238578346021,173.997263985848,0.031650200106756,3.95088519519146,67.5525965223115,67.8238578346021,0.979947142032217,0.0946573779920844,67.5892951422069,NA,0.0040075163235942,0.271261312290591,67.5031433098259,67.5031433098259,67.5525965223115,67.5892951422069,77,Inf,140,86,229,94,206,Inf,143,112
SERC,2017,30531,1,SERC305311,QUAL,67.7832449927528,68.0797190194767,157.363653641197,0.0363993323274238,1.48840509436459,67.8093799997999,68.0797190194767,0.989265095704992,0.108786377099449,67.8238578346021,NA,0.00397882358884338,0.270339019676797,67.7832449927528,67.7832449927528,67.8093799997999,67.8238578346021,82,Inf,151,95,230,105,210,Inf,135,105
SERC,2018,30531,1,SERC305311,QUAL,67.950967521931,68.4307788426702,178.558743504462,0.0256854594834129,2.66674208740818,68.0593032557541,68.4307788426702,0.983319236349672,0.139298181910576,68.0797190194767,NA,0.00544327468217531,0.371475586916091,67.950967521931,67.950967521931,68.0593032557541,68.0797190194767,92,Inf,158,101,265,108,237,Inf,164,129
SERC,2013,30551,1,SERC305511,LITU,50.7907236307916,51.240873925492,184.917024921785,0.0848523020937574,3.32966147496371,50.8017291597372,51.240873925492,0.992550576975489,0.17547705834753,-99,NA,0.00860713983307937,0.439144765754797,50.7907236307916,50.7907236307916,50.8017291597372,-99,127,Inf,171,141,206,147,197,Inf,65,50
SERC,2014,30551,1,SERC305511,LITU,51.2495821927064,51.5673309801004,175.40605248054,0.0684939124173194,1.0919819259483,51.2500914082922,51.5673309801004,0.988481794081406,0.136405765751877,51.240873925492,NA,0.0061709498480238,0.317239571808202,51.2495821927064,51.2495821927064,51.2500914082922,51.240873925492,80,Inf,174,132,217,142,206,Inf,85,64
SERC,2015,30551,1,SERC305511,LITU,51.5533806585355,51.8885669048532,172.906711884266,0.0742703363032306,1.50082665067755,51.5698885174407,51.8885669048532,0.979019800442837,0.139890201613735,51.5673309801004,NA,0.00616052876466489,0.318678387412497,51.5533806585355,51.5533806585355,51.5698885174407,51.5673309801004,128,Inf,169,137,208,143,198,Inf,71,55
SERC,2016,30551,1,SERC305511,LITU,51.879620266516,52.2491105280084,203.887034894538,0.0672894958401689,4.95915315587426,51.8828911277019,52.2491105280084,0.99320359726862,0.158667986541579,51.8885669048532,NA,0.0070337822061739,0.366219400306498,51.879620266516,51.879620266516,51.8828911277019,51.8885669048532,110,Inf,180,139,224,149,213,Inf,85,64
SERC,2017,30551,1,SERC305511,LITU,52.2564425440454,52.3163605835568,156.512609284789,8.45785500568024,-3.77202000919849,52.2528568106086,52.2775277921965,0.671947414867808,0.0254746944813788,52.2491105280084,NA,0.000472034655564446,0.0246709815879029,52.2564425440454,52.2564425440454,52.2528568106086,52.2491105280084,156,NA,NA,156,NA,156,NA,NA,NA,NA
SERC,2016,30551,2,SERC305512,LITU,50.7128873877055,50.8852797949866,214.518346781237,0.0279093186134523,2.76542457408473,50.8,50.8852797949866,0.928190678614236,0.0264114214686089,-99,NA,0.00167732861929704,0.0852797949866044,50.7128873877055,50.7128873877055,50.8,-99,179,Inf,218,182,310,186,284,Inf,128,98
SERC,2017,30551,2,SERC305512,LITU,50.8880923141063,51.1340116474852,189.885872985494,0.0752272405554214,1.82960037374327,50.8894316231737,51.1340116474852,0.995883071899017,0.109778425252435,50.8852797949866,NA,0.00479459396795612,0.244580024311503,50.8880923141063,50.8880923141063,50.8894316231737,50.8852797949866,113,Inf,182,144,221,153,211,Inf,77,58
SERC,2018,30551,2,SERC305512,LITU,51.1540052904778,51.4633791288565,186.398689344098,0.0693127015038183,1.8784604730378,51.1586291758158,51.4633791288565,0.992848161456293,0.137535755840736,51.1340116474852,NA,0.0059392883440168,0.304749953040705,51.1540052904778,51.1540052904778,51.1586291758158,51.1340116474852,117,Inf,178,139,220,148,209,Inf,81,61
